method,path,file,line,guard,shadowed_by,verdict
GET,/projects/:id/file-locks,apps/api/src/index.ts,2747,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/file-locks/status,apps/api/src/index.ts,2766,requireProjectScope,,CHANGE (move to /api/v1)
POST,/tasks/readiness-eval,apps/api/src/index.ts,2786,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
POST,/projects/:id/context-items,apps/api/src/index.ts,2853,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/context-items,apps/api/src/index.ts,2990,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/context-items/:contextItemId,apps/api/src/index.ts,3030,requireProjectScope,,CHANGE (move to /api/v1)
PATCH,/context-items/:contextItemId,apps/api/src/index.ts,3080,bearer-only,,REVIEW (unscoped)
DELETE,/context-items/:contextItemId,apps/api/src/index.ts,3211,bearer-only,,REVIEW (unscoped)
GET,/projects/:id/context-search,apps/api/src/index.ts,3253,requireProjectScope,,CHANGE (move to /api/v1)
POST,/context/isolated-retrieve,apps/api/src/index.ts,3407,bearer-only,,REVIEW (unscoped)
GET,/context/search-server/status,apps/api/src/index.ts,3440,bearer-only,,REVIEW (unscoped)
POST,/projects/:id/retrieval/rank,apps/api/src/index.ts,3478,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/retrieval/rank,apps/api/src/index.ts,3516,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/retrieval/status,apps/api/src/index.ts,3556,requireProjectScope,,CHANGE (move to /api/v1)
POST,/tasks/:id/context-retrieve,apps/api/src/index.ts,3579,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
POST,/tasks/:id/context-pack,apps/api/src/index.ts,3640,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/tasks/:id/context-pack,apps/api/src/index.ts,3890,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/projects/:id/context-packs,apps/api/src/index.ts,3956,requireProjectScope,,CHANGE (move to /api/v1)
POST,/context-items/:id/summarize,apps/api/src/index.ts,4011,bearer-only,,REVIEW (unscoped)
POST,/tasks/:id/session-memory,apps/api/src/index.ts,4086,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/projects/:id/repo-metadata,apps/api/src/index.ts,4173,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/permission-policies,apps/api/src/index.ts,4217,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/permissions/evaluate,apps/api/src/index.ts,4235,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/permissions/evaluations,apps/api/src/index.ts,4268,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/repo/status,apps/api/src/index.ts,4297,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/repo/diff,apps/api/src/index.ts,4337,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/repo/files,apps/api/src/index.ts,4362,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/repo/file,apps/api/src/index.ts,4385,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/repo/file-check,apps/api/src/index.ts,4422,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/repo/configure-local,apps/api/src/index.ts,4477,requireProjectScope,,CHANGE (move to /api/v1)
POST,/tasks/:id/compressed-pack,apps/api/src/index.ts,4531,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
POST,/context-packs/:id/rehydrate,apps/api/src/index.ts,4676,bearer-only,,REVIEW (unscoped)
POST,/tasks/:id/boundary,apps/api/src/index.ts,4881,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/tasks/:id/boundary,apps/api/src/index.ts,4945,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
PATCH,/tasks/:id/boundary,apps/api/src/index.ts,4977,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
POST,/tasks/:id/boundary/lock,apps/api/src/index.ts,5056,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
POST,/tasks/:id/boundary/check,apps/api/src/index.ts,5100,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
POST,/projects/:id/graph/sync,apps/api/src/index.ts,5189,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/graph,apps/api/src/index.ts,5203,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/graph/nodes,apps/api/src/index.ts,5218,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/graph/edges,apps/api/src/index.ts,5232,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/graph/edges,apps/api/src/index.ts,5246,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/graph/dependencies,apps/api/src/index.ts,5263,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/graph/dependencies/:contextItemId,apps/api/src/index.ts,5275,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/graph/reverse-dependencies,apps/api/src/index.ts,5288,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/graph/reverse-dependencies/:contextItemId,apps/api/src/index.ts,5307,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/graph/impact-preview,apps/api/src/index.ts,5324,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/impact/analyze,apps/api/src/index.ts,5348,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/impact/preview,apps/api/src/index.ts,5374,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/impact/reports,apps/api/src/index.ts,5400,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/impact/reports/:reportId,apps/api/src/index.ts,5412,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/change-simulation,apps/api/src/index.ts,5431,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/change-simulations,apps/api/src/index.ts,5458,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/change-simulations/:simulationId,apps/api/src/index.ts,5470,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/agent-memory,apps/api/src/index.ts,5493,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/agent-memory,apps/api/src/index.ts,5508,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/agent-memory/latest,apps/api/src/index.ts,5522,requireProjectScope,,CHANGE (move to /api/v1)
PATCH,/projects/:id/agent-memory/:memoryId,apps/api/src/index.ts,5542,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/pause,apps/api/src/index.ts,5561,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/resume-state,apps/api/src/index.ts,5591,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/resume-state/latest,apps/api/src/index.ts,5606,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/resume-state,apps/api/src/index.ts,5625,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/resume-payload,apps/api/src/index.ts,5639,requireProjectScope,,CHANGE (move to /api/v1)
PATCH,/projects/:id/resume-states/:resumeStateId,apps/api/src/index.ts,5653,requireProjectScope,,CHANGE (move to /api/v1)
POST,/tasks/:id/pause,apps/api/src/index.ts,5686,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
POST,/tasks/:id/resume-state,apps/api/src/index.ts,5693,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/tasks/:id/resume-state/latest,apps/api/src/index.ts,5700,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/tasks/:id/resume-state,apps/api/src/index.ts,5711,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
POST,/tasks/:id/resume-payload,apps/api/src/index.ts,5718,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
PATCH,/resume-states/:resumeStateId,apps/api/src/index.ts,5724,bearer-only,,REVIEW (unscoped)
POST,/tasks/:id/resume-schedule,apps/api/src/index.ts,5742,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/tasks/:id/resume-schedules,apps/api/src/index.ts,5762,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/projects/:id/resume-queue,apps/api/src/index.ts,5770,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/resume-queue/requeue-ready,apps/api/src/index.ts,5793,requireProjectScope,,CHANGE (move to /api/v1)
PATCH,/resume-schedules/:scheduleId,apps/api/src/index.ts,5808,bearer-only,,REVIEW (unscoped)
DELETE,/resume-schedules/:scheduleId,apps/api/src/index.ts,5827,bearer-only,,REVIEW (unscoped)
POST,/tasks/:id/agent-session,apps/api/src/index.ts,5852,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/tasks/:id/agent-sessions,apps/api/src/index.ts,5861,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/tasks/:id/agent-session/latest,apps/api/src/index.ts,5870,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
POST,/tasks/:id/session-recovery-payload,apps/api/src/index.ts,5880,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
PATCH,/agent-sessions/:agentSessionId,apps/api/src/index.ts,5889,bearer-only,,REVIEW (unscoped)
POST,/tasks/:id/task-state-fallback,apps/api/src/index.ts,5908,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
POST,/tasks/:id/handoffs,apps/api/src/index.ts,5921,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/tasks/:id/handoffs,apps/api/src/index.ts,5930,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/tasks/:id/handoffs/latest,apps/api/src/index.ts,5939,bearer-only,apps/api/src/index.ts:161,DELETE (shadowed/dead)
GET,/handoffs/:handoffId,apps/api/src/index.ts,5948,bearer-only,,REVIEW (unscoped)
PATCH,/handoffs/:handoffId,apps/api/src/index.ts,5967,bearer-only,,REVIEW (unscoped)
POST,/handoffs/:handoffId/validate,apps/api/src/index.ts,5986,bearer-only,,REVIEW (unscoped)
GET,/projects/:id/tasks/:taskId/timeline,apps/api/src/index.ts,6013,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/timeline/summary,apps/api/src/index.ts,6070,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/timeline,apps/api/src/index.ts,6127,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/timeline/rebuild,apps/api/src/index.ts,6166,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/tasks/:taskId/debug/logs,apps/api/src/index.ts,6213,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/debug/logs,apps/api/src/index.ts,6265,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/debug/diagnose,apps/api/src/index.ts,6330,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/tasks/:taskId/debug/clear,apps/api/src/index.ts,6371,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/debug/status,apps/api/src/index.ts,6412,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/index-jobs,apps/api/src/index.ts,6450,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/index-jobs,apps/api/src/index.ts,6466,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/index-jobs/:jobId,apps/api/src/index.ts,6488,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/index-jobs/:jobId/cancel,apps/api/src/index.ts,6500,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/index-jobs/:jobId/retry,apps/api/src/index.ts,6512,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/index-jobs/:jobId/complete,apps/api/src/index.ts,6523,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/index-jobs/:jobId/fail,apps/api/src/index.ts,6534,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/index-jobs/claim-next,apps/api/src/index.ts,6548,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/index-jobs/claim,apps/api/src/index.ts,6564,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/index-jobs/release-stale-locks,apps/api/src/index.ts,6580,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/incremental-index/status,apps/api/src/index.ts,6606,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/incremental-index/events,apps/api/src/index.ts,6618,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/incremental-index/events,apps/api/src/index.ts,6630,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/incremental-index/scan-path,apps/api/src/index.ts,6649,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/incremental-index/rebuild-delta,apps/api/src/index.ts,6665,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/static-analysis/analyze-file,apps/api/src/index.ts,6678,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/artifacts,apps/api/src/index.ts,6871,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/artifacts,apps/api/src/index.ts,6885,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/artifacts/stats,apps/api/src/index.ts,6904,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/artifacts/by-path,apps/api/src/index.ts,6915,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/artifacts/:artifactId,apps/api/src/index.ts,6933,requireProjectScope,,CHANGE (move to /api/v1)
GET,/projects/:id/artifacts/:artifactId/history,apps/api/src/index.ts,6945,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/artifacts/:artifactId/archive,apps/api/src/index.ts,6958,requireProjectScope,,CHANGE (move to /api/v1)
POST,/projects/:id/artifacts/:artifactId/quarantine,apps/api/src/index.ts,6970,requireProjectScope,,CHANGE (move to /api/v1)
GET,/providers/health,apps/api/src/index.ts,7000,bearer-only,,REVIEW (unscoped)
POST,/api/simulate-task,server.ts,43,bearer-only,,REVIEW (unscoped)
GET,*,server.ts,315,bearer-only,,REVIEW (unscoped)
