category,id,label,route,declared_status,component,data_source,verdict
security-kernel,path-traversal-guard,Dizin Kaçış Koruması,/traversal-guard,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
security-kernel,secret-redactor,Sır Ayıklayıcı (Redactor),/redactor,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
security-kernel,default-deny-rules,Varsayılan Reddetme Kuralları,/default-deny,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
security-kernel,read-only-policies,Salt Okunur Kurallar,/read-only,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
evidence-audit,evidence-store,Kanıt Deposu Paneli,/evidence,PARTIAL,EvidenceStorePanel,backend API,REAL
evidence-audit,event-journal,Ajan Olay Günlüğü,/events,PARTIAL,EventJournalPanel,backend API,REAL
evidence-audit,event-store,Olay Deposu,/event-store,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
evidence-audit,evidence-health-gauge,Kanıt Sağlık Göstergesi,/health-gauge,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
evidence-audit,corruption-reports,Bozulma Raporları,/corruption,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
evidence-audit,cryptographic-ledger,Kriptografik Defter,/ledger,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
evidence-audit,signed-logs,İmzalı Loglar,/signed-logs,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
worker-runtime,worker-runtime,İşçi Çalışma Zamanı HUD,/workers,PARTIAL,WorkerRuntimeDashboard,backend API,REAL
worker-runtime,index-sync,Dizin Eşitleme İşleri,/index-sync,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
worker-runtime,git-tracking,Git Takibi,/git-tracking,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
worker-runtime,ast-compilation-jobs,AST Derleme İşleri,/ast-jobs,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
worker-runtime,load-metrics,Yük Metrikleri,/load,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
worker-runtime,runtime-telemetry,Çalışma Zamanı Telemetrisi,/telemetry,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
database-migrations,db-status,Veritabanı Durumu,/db-status,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
database-migrations,supabase-pool-manager,Supabase Havuz Yöneticisi,/db-pool,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
database-migrations,migrations,Migrasyon Defteri,/migrations,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
database-migrations,schema-browser,Şema Tarayıcısı,/schema,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
database-migrations,dev-reset-utility,Geliştirici Sıfırlama Aracı,/dev-reset,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
database-migrations,public-tables,Genel Tablolar,/tables,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
providers-connectors,model-routing,Model Yönlendirme,/model-routing,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
providers-connectors,google-sdk-adapter,Google SDK Adaptörü,/google-sdk,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
providers-connectors,saas-sync-states,SaaS Eşitleme Durumları,/saas-sync,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
providers-connectors,credential-stubs,Kimlik Bilgisi Taslakları,/credentials,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
providers-connectors,connect-center,Bağlantı Merkezi,/connectors,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,quality-gate-report,Kalite Geçidi Raporu,/quality-gates,PARTIAL,QualityGateReportPanel,backend API,REAL
qa-validation,test-runner,Test Koşturucu,/test-runner,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,deterministic-tests,Belirleyici Testler,/test-det,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,db-integration-tests,Veritabanı Entegrasyon Testleri,/test-db,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,secret-scan,Sır Tarayıcısı (Secret Scan),/secret-scan,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,debug-tag-gate,Debug Etiketi Engeli,/debug-gate,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,manual-qa-checklist,Manuel QA Kontrol Listesi,/manual-qa,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,stage-27-validation,Erişim Yetki Çekirdeği (ABAC) Doğrulaması,/stage-27,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,stage-28-validation,Bağlam Paketleyici (50K Pack) Doğrulaması,/stage-28,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,stage-29-validation,Repo Adaptörü ve Kapsamlı Yollar Doğrulaması,/stage-29,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,stage-30-validation,Kriptografik Olay Günlüğü Doğrulaması,/stage-30,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,stage-31-validation,Obsidian Bellek Kasası Doğrulaması,/stage-31,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,stage-32-validation,Ajan Devamlılık Handoff Doğrulaması,/stage-32,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,stage-33-validation,Görev Yaşam Döngüsü FSM Doğrulaması,/stage-33,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,stage-34-validation,İşçi Çalışma Zamanı Telemetrisi Doğrulaması,/stage-34,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
qa-validation,stage-35-validation,Artefakt CAS Tekilleştirme Doğrulaması,/stage-35,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
documentation,architecture-index,Mimari Dizini,/docs/arch-idx,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
documentation,architecture-schema,Mimari Şeması,/docs/arch-schema,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
documentation,kernel-explanation,Çekirdek Çalışma Tezi,/docs/kernel-explain,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
documentation,context-execution-plan,Bağlam Yürütme Planı,/docs/execution-plan,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
documentation,ui-accessibility-notes,Arayüz Erişilebilirlik Notları,/docs/accessibility,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
documentation,quality-gates,Kalite Geçitleri Kuralları,/docs/quality-gates,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
documentation,manual-qa,Manuel QA Rehberi,/docs/manual-qa,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
documentation,implementation-log,Uygulama Günlüğü,/docs/impl-log,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
governance-kernel-debt,kernel-awareness-note,Çekirdek Farkındalık Notu,/gov/awareness,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
governance-kernel-debt,kernel-debt-register,Çekirdek Borç Sicili,/gov/debt,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
governance-kernel-debt,permission-kernel-audit,Erişim Çekirdeği Denetimi,/gov/audit,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
governance-kernel-debt,human-review-requirements,İnsan İnceleme Koşulları,/gov/human-review,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
governance-kernel-debt,release-sign-off,Sürüm İmza Defteri,/gov/signoff,MISSING,ModuleSimulationPanel,client literal / setTimeout,FAKE
